"key";"EN";"DE"
"AFGHAN";"Afghan";"Afghanisch"
"AFGHANISTAN";"Afghanistan";"Afghanistan"
"ALBANIAN";"Albanian";"Albanisch"
"ALGERIA";"Algeria";"Algerien"
"ALGERIAN";"Algerian";"Algerisch"
"AMERICAN";"American";"Amerikanisch"
"ARABIC";"Arabic";"Arabisch"
"BELARUS";"Belarus";"Weißrussland"
"BELORUSSIAN";"Belorussian";"Weißrussisch"
"BRITISH";"British";"Britisch"
"BULGARIA";"Bulgaria";"Bulgarien"
"BULGARIAN";"Bulgarian";"Bulgarisch"
"CANADA";"Canada";"Kanada"
"CANADIAN";"Canadian";"Kanadisch"
"CHINA";"China";"China"
"CHINESE";"Chinese";"Chinesisch"
"CROATIA";"Croatia";"Kroatien"
"CROATIAN";"Croatian";"Kroatisch"
"CUBA";"Cuba";"Kuba"
"DOMINICAN_REPUBLIC";"Dominican Republic";"Dominikanische Republik"
"DUTCH";"Dutch";"Niederländisch"
"EL_SALVADOR";"El Salvador";"El Salvador"
"ENGLISH";"English";"Englisch"
"FRANCE";"France";"Frankreich"
"FRENCH";"French";"Französisch"
"GERMAN";"German";"Deutsch"
"GERMANY";"Germany";"Deutschland"
"GREECE";"Greece";"Griechenland"
"GREEK";"Greek";"Griechisch"
"GUATEMALA";"Guatemala";"Guatemala"
"HAITIAN";"Haitian";"Haitianisch"
"HINDI";"Hindi";"Hindi"
"HUNGARIAN";"Hungarian";"Ungarisch"
"INDIA";"India";"Indien"
"IRAN";"Iran";"Iran"
"IRANIAN";"Iranian";"Iranisch"
"IRAQ";"Iraq";"Irak"
"IRAQI";"Iraqi";"Irakisch"
"IRELAND";"Ireland";"Irland"
"ITALIAN";"Italian";"Italienisch"
"ITALY";"Italy";"Italien"
"JAPANESE";"Japanese";"Japanisch"
"KOREAN";"Korean";"Koreanisch"
"KOSOVAN";"Kosovan";"Kosovarisch"
"KOSOVO";"Kosovo";"Kosovo"
"KURDISH";"Kurdish";"Kurdisch"
"LITHUANIA";"Lithuania";"Litauen"
"LITHUANIAN";"Lithuanian";"Litauisch"
"MEXICO";"Mexico";"Mexiko"
"NETHERLANDS";"Netherlands";"Niederlande"
"NIGERIA";"Nigeria";"Nigeria"
"OTHER_COUNTRY";"Other country";"Anderes Land"
"OTHER_LANGUAGE";"Other language";"Andere Sprache"
"OTHER_NATIONALITY";"Other nationality";"Andere Nationalität"
"PAKISTAN";"Pakistan";"Pakistan"
"PASHTO";"Pashto";"Paschtunisch"
"PERSIAN";"Persian";"Persisch"
"PHILIPPINES";"Philippines";"Philippinen"
"POLAND";"Poland";"Polen"
"POLISH";"Polish";"Polnisch"
"PORTUGAL";"Portugal";"Portugal"
"PORTUGUESE";"Portuguese";"Portugiesisch"
"PUNJABI";"Punjabi";"Panjabi"
"ROMANIA";"Romania";"Rumänien"
"ROMANIAN";"Romanian";"Rumänisch"
"RUSSIAN_FEDERATION";"Russia";"Russland"
"RUSSIAN";"Russian";"Russisch"
"SENEGAL";"Senegal";"Senegal"
"SENEGALESE";"Senegalese";"Senegalesisch"
"SERBIA";"Serbia";"Serbien"
"SERBIAN";"Serbian";"Serbisch"
"SOUTH_AFRICA";"South Africa";"Südafrika"
"SOUTH_KOREA";"South Korea";"Südkorea"
"SPAIN";"Spain";"Spanien"
"SPANISH";"Spanish";"Spanisch"
"SYRIA";"Syria";"Syrien"
"SYRIAN";"Syrian";"Syrisch"
"TAGALOG";"Tagalog";"Tagalog"
"TURKEY";"Turkey";"Türkei"
"TURKISH";"Turkish";"Türkisch"
"UK";"UK";"Großbritannien"
"USA";"USA";"USA"
"VIETNAM";"Vietnam";"Vietnam"
"VIETNAMESE";"Vietnamese";"Vietnamesisch"
